has_coal,id,name,number,parliament_id,region_id
,30841,Goslar - Northeim - Osterode,52,6,2862926
,30451,Hamburg-Wandsbek,16,6,2911297
,30879,Greiz - Altenburger Land,196,6,2822542
,30471,Bottrop - Recklinghausen IV,95,6,2861876
,30708,Karlsruhe-Stadt,272,6,2953481
,30766,Ansbach,241,6,2951839
,30896,Kyffhäuserkreis - Sömmerda - Weimarer Land I,192,6,2822542
,29922,Halle,73,6,2842565
,30138,Prenzlau - Angermünde - Schwedt - Templin - Gransee,272,6,2945356
,29933,,171,6,2953481
,29918,,148,6,2847618
,30003,Rheingau-Taunus - Limburg,135,6,2905330
,29915,Schwerin - Ludwigslust,13,6,2872567
,29913,Lippe I,136,6,2861876
,30016,Minden-Lübbecke I,134,6,2861876
,29956,Straubing,231,6,2951839
,29912,Lippe I,105,6,2861876
,29954,Straubing,217,6,2951839
,29955,Straubing,232,6,2951839
,29914,Schwerin-Hagenow,263,6,2872567
,29934,,220,6,2951839
,29919,,20,6,2905330
,29916,,55,6,2862926
,29921,Halle-Altstadt,291,6,2842565
,29958,,48,6,2861876
,29949,,2,6,2953481
,29962,Montabaur,207,6,2847618
,29978,,47,6,2862926
,29963,Montabaur,206,6,2847618
,29923,,57,6,2944387
,30051,,312,6,2842566
,29966,Altötting,199,6,2951839
,29967,,44,6,2861876
,29968,,24,6,2861876
,29937,,80,6,2861876
,29969,,41,6,2861876
,29926,,316,6,2842566
,29940,Celle-Uelzen,39,6,2862926
,29970,,27,6,2951839
,29952,Elbe-Elster - Oberspreewald-Lausitz II,65,6,2945356
,29986,,119,6,2861876
,29977,,89,6,2861876
,29927,Bautzen - Löbau,316,6,2842566
,29928,,302,6,2822542
,30007,,158,6,2847618
,29929,Bochum I,110,6,2861876
,29985,Friesland - Wilhelmshaven,21,6,2862926
,29930,Fürstenfeldbruck,201,6,2951839
,29988,,2,6,2951839
,29920,Halle-Neustadt - Saalkreis - Köthen,292,6,2842565
,29989,,197,6,2951839
,29990,,270,6,2872567
,29931,Fürstenfeldbruck,217,6,2951839
,29993,,315,6,2842566
,29932,Fürstenfeldbruck,216,6,2951839
,29924,,50,6,2944387
,30049,,4,6,2953481
,29936,Roth,232,6,2951839
,29917,,124,6,2861876
,29945,,67,6,2861876
,29941,,297,6,2822542
,29943,,28,6,2861876
,29944,,11,6,2862926
,29946,,14,6,2861876
,29948,,25,6,2951839
,29951,Bad Liebenwerda-Finsterwalde-Herzberg-Lübben-Lückau,282,6,2945356
,29979,,77,6,2861876
,30043,,11,6,2905330
,30042,,221,6,2951839
,30011,,32,6,2861876
,29959,,96,6,2861876
,29953,,217,6,2951839
,30013,Deggendorf,213,6,2951839
,29997,,219,6,2951839
,30065,Dessau - Bitterfeld,289,6,2842565
,30019,Nienburg - Schaumburg,34,6,2862926
,29998,Schwandorf,220,6,2951839
,30001,Mannheim I,179,6,2953481
,30046,Gera-Stadt - Eisenberg - Gera-Land I,303,6,2822542
,29925,,153,6,2847618
,30189,,307,6,2822542
,30062,,262,6,2872567
,30082,Leipzig-Land,155,6,2842566
,30039,Hamburg-Bergedorf - Harburg,24,6,2911297
,30182,Gotha - Arnstadt,299,6,2822542
,29983,Minden-Lübbecke II,104,6,2861876
,30048,Kreuznach,204,6,2847618
,30012,,91,6,2861876
,30058,Bayreuth,237,6,2951839
,29972,,131,6,2905330
,30032,,251,6,2950157
,29965,,224,6,2951839
,30072,,241,6,2951839
,30159,Bautzen I,156,6,2842566
,30050,Ludwigshafen,157,6,2847618
,29961,Montabaur,153,6,2847618
,30110,,265,6,2872567
,30090,,19,6,2953481
,30054,Nordsachsen,152,6,2842566
,30055,,16,6,2862926
,30089,,19,6,2861876
,30031,,6,6,2953481
,30094,,6,6,2861876
,30005,,279,6,2945356
,29976,Odenwald - Tauber,181,6,2953481
,30074,,9,6,2862926
,29947,,32,6,2862926
,29971,,133,6,2905330
,30078,,34,6,2951839
,30023,Rottweil-Tuttlingen,285,6,2953481
,30015,Deggendorf,227,6,2951839
,30006,,2,6,2847618
,29994,Görlitz - Zittau - Niesky,315,6,2842566
,29995,Bremerhaven - Bremen-Nord,52,6,2944387
,29996,Wesel I,82,6,2861876
,30008,,304,6,2822542
,30000,Dresden-Land - Freital - Dippoldiswalde,320,6,2842566
,30135,München-Land,223,6,2951839
,30004,Düsseldorf II,75,6,2861876
,30178,Gifhorn - Peine,40,6,2862926
,30191,,12,6,2847618
,30080,Plön - Neumünster,6,6,2838632
,29950,Lübeck,11,6,2838632
,30022,Rottweil - Tuttlingen,285,6,2953481
,30014,Deggendorf,228,6,2951839
,29981,,243,6,2842635
,30079,,40,6,2951839
,30024,Rottweil – Tuttlingen,285,6,2953481
,30020,Rottweil - Tuttlingen,189,6,2953481
,30021,Rottweil - Tuttlingen,286,6,2953481
,30025,,5,6,2911297
,30027,,24,6,2951839
,30028,,7,6,2847618
,30030,,242,6,2951839
,30145,Chemnitz I,323,6,2842566
,30041,Brandenburg - Rathenow - Belzig,275,6,2945356
,30044,,19,6,2905330
,30045,,303,6,2822542
,30040,,275,6,2945356
,29973,Gießen,131,6,2905330
,30152,Vorpommern-Rügen - Vorpommern-Greifswald I,15,6,2872567
,30036,,314,6,2842566
,30037,Hoyerswerda - Kamenz - Weißwasser,314,6,2842566
,30038,Hamburg-Harburg,18,6,2911297
,29980,,17,6,2861876
,30092,,240,6,2951839
,30098,,274,6,2945356
,30086,Diepholz,28,6,2862926
,29974,,140,6,2905330
,30047,Kreuznach,150,6,2847618
,30153,Vorpommern-Rügen – Vorpommern-Greifswald I,15,6,2872567
,30059,Oldenburg - Ammerland,28,6,2862926
,30052,Döbeln - Grimma - Oschatz,312,6,2842566
,30053,Delitzsch - Torgau-Oschatz - Riesa,152,6,2842566
,30139,Uckermark - Barnim I,57,6,2945356
,30195,Ostholstein,9,6,2838632
,30056,Bayreuth,223,6,2951839
,30057,Bayreuth,238,6,2951839
,29938,Esslingen,165,6,2953481
,29939,,196,6,2953481
,30060,Amberg,218,6,2951839
,30064,,289,6,2842565
,30066,,306,6,2822542
,30068,,301,6,2822542
,30070,,269,6,2872567
,30073,,290,6,2842565
,30096,,59,6,2944387
,30097,,16,6,2953481
,30035,,150,6,2847618
,30095,,65,6,2861876
,30009,Altenburg - Schmölln - Greiz - Gera-Land II,304,6,2822542
,30076,Magdeburg,286,6,2842565
,30077,Magdeburg,69,6,2842565
,30010,,20,6,2951839
,30002,Mannheim,275,6,2953481
,29960,Groß-Gerau,141,6,2905330
,30087,Hannover-Land II,42,6,2862926
,30083,Leipzig-Land,154,6,2842566
,30084,Marburg,129,6,2905330
,30085,,30,6,2861876
,29999,,320,6,2842566
,30170,,216,6,2951839
,30088,Waiblingen,168,6,2953481
,30174,Düsseldorf I,74,6,2861876
,30061,Amberg,233,6,2951839
,30091,,163,6,2847618
,29984,Minden-Lübbecke I,135,6,2861876
,30018,,36,6,2951839
,30128,,6,6,2951839
,30175,Düsseldorf I,107,6,2861876
,30026,,19,6,2911297
,29992,Neubrandenburg - Mecklenburg-Strelitz - Uecker-Randow,18,6,2872567
,30101,Bad Kissingen,234,6,2951839
,30102,Bad Kissingen,249,6,2951839
,30113,,13,6,2847618
,30115,,13,6,2861876
,30109,Viersen,80,6,2861876
,30116,,291,6,2842565
,30111,Rostock,265,6,2872567
,30122,Herne,112,6,2861876
,30123,Herne-Bochum III,112,6,2861876
,30124,,253,6,2950157
,30125,,122,6,2861876
,30126,,264,6,2872567
,30105,,292,6,2842565
,29957,,223,6,2951839
,30104,Offenbach,186,6,2905330
,30417,Recklinghausen I,91,6,2861876
,30129,München-Mitte,203,6,2951839
